event_id,date,city,country,venue,is_apex
236a37d96d476164,2022-04-23,Las Vegas,USA,,0
8753e125f4499816,2022-04-16,Las Vegas,USA,,0
3a97fda0de6f1fa4,2022-04-09,Jacksonville,USA,,0
1fac46d466abd5b8,2022-03-26,Columbus,USA,,0
1d00756835ca67c9,2022-03-19,London,United Kingdom,,0
1f9344211ca7fd60,2022-03-12,Las Vegas,USA,,0
75e0d3cc2262b732,2022-03-05,Las Vegas,USA,,0
f6a7b02c42e9fc5b,2022-02-26,Las Vegas,USA,,0
77940e45bc86208e,2022-02-19,Las Vegas,USA,,0
cbb682f5fcc44bfc,2022-02-12,Houston,USA,,0
883922e5cd6d8473,2022-02-05,Las Vegas,USA,,0
335ad945324c3a2e,2022-01-22,Anaheim,USA,,0
f5585e675af7afd4,2022-01-15,Las Vegas,USA,,0
2a470ad41c22c25a,2021-12-18,Las Vegas,USA,,0
ef927e4fe2117ab8,2021-12-11,Las Vegas,USA,,0
509697e08673d2e5,2021-12-04,Las Vegas,USA,,0
c95fbc085e17a532,2021-11-20,Las Vegas,USA,,0
b5abaa65f87938eb,2021-11-13,Las Vegas,USA,,0
48e093ea1f43a053,2021-11-06,New York City,USA,,0
3974fa35c917af1d,2021-10-30,Abu Dhabi,United Arab Emirates,,0
8a9c6c4301f6d088,2021-10-23,Las Vegas,USA,,0
8f4616698508f24d,2021-10-16,Las Vegas,USA,,0
d247691a6c0e9034,2021-10-09,Las Vegas,USA,,0
e15d0a2519d6a0b5,2021-10-02,Las Vegas,USA,,0
0eec866a077889f0,2021-09-25,Las Vegas,USA,,0
4c27ca8c8481f79a,2021-09-18,Las Vegas,USA,,0
b9532d815060de7f,2021-09-04,Las Vegas,USA,,0
0db9d2486d564a3c,2021-08-28,Las Vegas,USA,,0
2f13e4020cea5b38,2021-08-21,Las Vegas,USA,,0
972197a8c61ac413,2021-08-07,Houston,USA,,0
320edfb0332b7073,2021-07-31,Las Vegas,USA,,0
e57f0b06ea39e360,2021-07-24,Las Vegas,USA,,0
40389d39a92f5bfa,2021-07-17,Las Vegas,USA,,0
8a0be41c0380188d,2021-07-10,Las Vegas,USA,,0
a1d6b308781aa2f5,2021-06-26,Las Vegas,USA,,0
9ddfb3369a3b0394,2021-06-19,Las Vegas,USA,,0
0b64d0fed453ef7f,2021-06-12,Glendale,USA,,0
3b2485c8d5c8b580,2021-06-05,Las Vegas,USA,,0
277ffed20cf07aea,2021-05-22,Las Vegas,USA,,0
744f50016c39c26c,2021-05-15,Houston,USA,,0
58a36b4ccf5dc30e,2021-05-08,Las Vegas,USA,,0
d57e6a8971b6d2bd,2021-05-01,Las Vegas,USA,,0
27541033b97c076d,2021-04-24,Jacksonville,USA,,0
4a35913bd9aa4161,2021-04-17,Las Vegas,USA,,0
9114c8ded5ccd71d,2021-04-10,Las Vegas,USA,,0
6597b611f1c32555,2021-03-27,Las Vegas,USA,,0
c36e1f4fa755ffb4,2021-03-20,Las Vegas,USA,,0
8c90c1563972e44d,2021-03-13,Las Vegas,USA,,0
6e2b1d631832921d,2021-03-06,Las Vegas,USA,,0
81b57acd6975ac06,2021-02-27,Las Vegas,USA,,0
