fight_id,round,r_kd,r_sig_landed,r_sig_attempts,r_td,r_ctrl_sec,r_head_landed,r_body_landed,r_leg_landed,r_distance_landed,r_clinch_landed,r_ground_landed,b_kd,b_sig_landed,b_sig_attempts,b_td,b_ctrl_sec,b_head_landed,b_body_landed,b_leg_landed,b_distance_landed,b_clinch_landed,b_ground_landed,r_total_landed,r_total_attempts,r_td_attempts,r_sub_att,r_rev,b_total_landed,b_total_attempts,b_td_attempts,b_sub_att,b_rev,r_head_attempts,r_body_attempts,r_leg_attempts,b_head_attempts,b_body_attempts,b_leg_attempts,r_distance_attempts,r_clinch_attempts,r_ground_attempts,b_distance_attempts,b_clinch_attempts,b_ground_attempts
77ed474dfc5359ea,1,0,13,25,0,13,6,7,0,6,7,0,2,23,46,0,64,21,2,0,17,5,1,,,,,,,,,,,,,,,,,,,,,,
6e26a6293ea6ba62,1,0,2,13,0,0,2,0,0,2,0,0,0,11,25,1,214,7,2,2,6,0,5,,,,,,,,,,,,,,,,,,,,,,
97b32ff27fd457a8,1,0,0,4,0,0,0,0,0,0,0,0,0,2,3,3,264,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,
c445401709421fa4,1,0,1,3,3,274,1,0,0,0,0,1,0,1,5,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
469f887278324e63,1,0,4,12,0,124,4,0,0,3,1,0,0,7,12,1,108,0,2,5,7,0,0,,,,,,,,,,,,,,,,,,,,,,
633f4b5ec767769d,1,0,15,39,0,12,8,3,4,11,0,4,0,7,16,0,2,2,2,3,7,0,0,,,,,,,,,,,,,,,,,,,,,,
a526a72ade275f46,1,0,10,21,0,16,8,2,0,10,0,0,0,63,81,0,88,42,6,15,35,3,25,,,,,,,,,,,,,,,,,,,,,,
4072abf0b0c179f2,1,0,21,43,0,0,9,4,8,21,0,0,0,13,26,1,44,9,0,4,13,0,0,,,,,,,,,,,,,,,,,,,,,,
9bbd45774fb4a6eb,1,0,7,20,0,0,0,4,3,7,0,0,0,18,31,1,52,10,5,3,13,2,3,,,,,,,,,,,,,,,,,,,,,,
fbf83609dc96f32e,1,0,22,52,0,0,19,1,2,22,0,0,1,15,39,0,82,6,0,9,14,0,1,,,,,,,,,,,,,,,,,,,,,,
