fight_id,event_id,r_fighter_id,b_fighter_id,r_fighter_name,b_fighter_name,weight_class,winner_corner,fight_url
50385add37239184,02177caefe7c07d4,1291edf2d566a71a,82a5152216251682,Julio Arce,Dan Ige,Featherweight,R,https://www.ufcstats.com/fight-details/50385add37239184
5cf56c22cbc24758,02177caefe7c07d4,fcd448a2fe1a23cc,b69f24c500d783e7,Gian Villante,Francimar Barroso,Light Heavyweight,R,https://www.ufcstats.com/fight-details/5cf56c22cbc24758
5f617d6c19d3a281,02177caefe7c07d4,751de04455cfaac0,98d961097baaf308,Calvin Kattar,Shane Burgos,Featherweight,R,https://www.ufcstats.com/fight-details/5f617d6c19d3a281
8238f9d2fd961757,02177caefe7c07d4,d28dee5c705991df,8d03ce87ca14e778,Stipe Miocic,Francis Ngannou,Heavyweight,R,https://www.ufcstats.com/fight-details/8238f9d2fd961757
889207e3c622a5aa,02177caefe7c07d4,05339613bf8e9808,2b074403b7c6cdb4,Rob Font,Thomas Almeida,Bantamweight,R,https://www.ufcstats.com/fight-details/889207e3c622a5aa
9f96d11017f9c824,02177caefe7c07d4,d967f0128c323de6,0845c81e37d3bcb3,Daniel Cormier,Volkan Oezdemir,Light Heavyweight,R,https://www.ufcstats.com/fight-details/9f96d11017f9c824
b9726184624ac076,02177caefe7c07d4,275aca31f61ba28c,75e5fec9f72910ef,Islam Makhachev,Gleison Tibau,Lightweight,R,https://www.ufcstats.com/fight-details/b9726184624ac076
ea66be2688f542be,02177caefe7c07d4,c5af5750e8bae4f0,cc351e408bbb7d43,Kyle Bochniak,Brandon Davis,Featherweight,R,https://www.ufcstats.com/fight-details/ea66be2688f542be
f91709b071e8295a,02177caefe7c07d4,eae431e70064e046,71f048adbfed5b49,Abdul Razak Alhassan,Sabah Homasi,Welterweight,R,https://www.ufcstats.com/fight-details/f91709b071e8295a
026bb9fd1b3f239d,026b4f7049085842,476fe566d2df676e,6370c1c1e12723d5,Modestas Bukauskas,Marcin Prachnio,Light Heavyweight,R,https://www.ufcstats.com/fight-details/026bb9fd1b3f239d
16b0a16ab2e20fdb,026b4f7049085842,6b56e94a59b7b134,9fe7af8b3fbe00a0,Oban Elliott,Preston Parsons,Welterweight,R,https://www.ufcstats.com/fight-details/16b0a16ab2e20fdb
