fighter_name,url,http_ok,http_error,html_bytes,anti_bot_hit,table_found,event_headers,headers_skipped_unconfirmed,headers_skipped_future,headers_with_dates,main_rows_total,matched_rows,fights_yielded,name_match_example,last_header_date_example,missing_closing_both,missing_closing_one_side,open_missing_count,reason_if_empty
Song Yadong,https://www.bestfightodds.com/fighters/Song-Yadong-9482,yes,,25728,maybe,yes,10,0,0,10,10,0,0,song yadong -215 -275 ... -250 -5.9% ▼ ufc,Aug 19th 2023,0,0,0,NAME_NEVER_FOUND
Pete Spratt,https://www.bestfightodds.com/fighters/Pete-Spratt-9,yes,,27199,maybe,yes,13,0,0,13,13,0,0,pete spratt +250 +300 ... +300 +12.5% ▲ legacy fighting championship 23: spratt vs. means,Oct 13th 2007,0,0,0,NAME_NEVER_FOUND
Krzysztof Soszynski,https://www.bestfightodds.com/fighters/Krzysztof-Soszynski-379,yes,,26157,maybe,yes,10,0,0,10,10,0,0,krzysztof soszynski -215 -255 ... -255 -5.2% ▼ ufc 140: jones vs. machida,Dec 15th 2007,0,0,0,NAME_NEVER_FOUND
Maia Stevenson,https://www.bestfightodds.com/fighters/Maia-Stevenson-7816,yes,,12335,maybe,yes,1,0,0,1,1,0,0,maia stevenson +190 +350 ... +355 +36% ▲ ufc fight night 125: machida vs. anders,Feb 3rd 2018,0,0,0,NAME_NEVER_FOUND
Steve Steinbeiss,https://www.bestfightodds.com/fighters/Steve-Steinbeiss-812,yes,,15803,maybe,yes,4,0,0,4,4,0,0,steve steinbeiss +175 +168 ... +168 -2.6% ▼ ufc on versus 2,Oct 22nd 2011,0,0,0,NAME_NEVER_FOUND
Louis Smolka,https://www.bestfightodds.com/fighters/Louis-Smolka-4634,yes,,39375,maybe,yes,18,0,0,18,18,0,0,louis smolka +235 +210 ... +245 -0.9% ▼ ufc fight night 208,Jan 15th 2014,0,0,0,NAME_NEVER_FOUND
Renato Sobral,https://www.bestfightodds.com/fighters/Renato-Sobral-126,yes,,25438,maybe,yes,10,0,0,10,10,0,0,renato sobral -215 -225 ... -215 -0.7% ▼ bellator fighting championship 96: king mo vs. petruzelli,Jun 23rd 2012,0,0,0,NAME_NEVER_FOUND
Laureano Staropoli,https://www.bestfightodds.com/fighters/Laureano-Staropoli-8711,yes,,29619,maybe,yes,12,0,0,12,12,0,0,laureano staropoli +500 +650 ... +900 +30% ▲ pfl,Nov 17th 2018,0,0,0,NAME_NEVER_FOUND
Damian Stasiak,https://www.bestfightodds.com/fighters/Damian-Stasiak-5593,yes,,32061,maybe,yes,14,0,0,14,14,0,0,damian stasiak -163 -125 ... -125 +10.4% ▲ ksw,Apr 11th 2015,0,0,0,NAME_NEVER_FOUND
Chael Sonnen,https://www.bestfightodds.com/fighters/Chael-Sonnen-106,yes,,39680,maybe,yes,19,0,0,19,19,0,0,chael sonnen +185 +275 ... +330 +30.1% ▲ bellator 222: macdonald vs. gracie,Dec 12th 2007,0,0,0,NAME_NEVER_FOUND
Kyle Stewart,https://www.bestfightodds.com/fighters/Kyle-Stewart-7120,yes,,32015,maybe,yes,15,0,0,15,15,0,0,kyle stewart +140 +140 ... +140 bellator 296,May 5th 2017,0,0,0,NAME_NEVER_FOUND
Dan Stittgen,https://www.bestfightodds.com/fighters/Dan-Stittgen-3099,yes,,14629,maybe,yes,3,0,0,3,3,0,0,dan stittgen +315 +330 ... +350 +5.7% ▲ ufc on fuel tv 4: munoz vs. weidman,Apr 28th 2018,0,0,0,NAME_NEVER_FOUND
Denis Stojnic,https://www.bestfightodds.com/fighters/Denis-Stojnic-1005,yes,,16130,maybe,yes,4,0,0,4,4,0,0,denis stojnic +420 +420 ... +600 +10.3% ▲ bellator 287,Nov 9th 2019,0,0,0,NAME_NEVER_FOUND
Dominique Steele,https://www.bestfightodds.com/fighters/Dominique-Steele-2834,yes,,26542,maybe,yes,11,0,0,11,11,0,0,dominique steele +125 +160 ... +160 +13.5% ▲ cage warriors 89: amoussou vs. steele,Sep 10th 2011,0,0,0,NAME_NEVER_FOUND
Niklas Stolze,https://www.bestfightodds.com/fighters/Niklas-Stolze-6869,yes,,22436,maybe,yes,9,0,0,9,9,0,0,niklas stolze -275 -275 ... -275 oktagon,Dec 16th 2016,0,0,0,NAME_NEVER_FOUND
Navajo Stirling,https://www.bestfightodds.com/fighters/Navajo-Stirling-18344,yes,,15347,maybe,yes,3,0,0,3,3,0,0,navajo stirling -250 -360 ... -300 -8% ▼ ufc,Sep 11th 2024,0,0,0,NAME_NEVER_FOUND
Mike Stumpf,https://www.bestfightodds.com/fighters/Mike-Stumpf-682,yes,,16501,maybe,yes,4,0,0,4,4,0,0,mike stumpf +180 +235 ... +250 +18.4% ▲ ufc on fox 6: johnson vs. dodson,Jun 14th 2008,0,0,0,NAME_NEVER_FOUND
Serghei Spivac,https://www.bestfightodds.com/fighters/Serghei-Spivac-9985,yes,,21812,maybe,yes,7,0,0,7,7,0,0,serghei spivac -142 -180 ... -163 -7.5% ▼ ufc,Jul 18th 2020,0,0,0,NAME_NEVER_FOUND
Jesse Strader,https://www.bestfightodds.com/fighters/Jesse-Strader-9371,yes,,15410,maybe,yes,3,0,0,3,3,0,0,jesse strader +250 +195 ... +220 -13.6% ▼ ufc,Aug 2nd 2019,0,0,0,NAME_NEVER_FOUND
Hans Stringer,https://www.bestfightodds.com/fighters/Hans-Stringer-4267,yes,,16761,maybe,yes,4,0,0,4,4,0,0,hans stringer +150 +190 ... +195 +14.7% ▲ ufc fight night 72: bisping vs. leites,Oct 26th 2013,0,0,0,NAME_NEVER_FOUND
Mark Striegl,https://www.bestfightodds.com/fighters/Mark-Striegl-5554,yes,,18708,maybe,yes,6,0,0,6,6,0,0,mark striegl -300 -175 ... -163 +16.2% ▲ uae warriors 39,Dec 11th 2015,0,0,0,NAME_NEVER_FOUND
Darko Stosic,https://www.bestfightodds.com/fighters/Darko-Stosic-8215,yes,,31601,maybe,yes,14,0,0,14,14,0,0,darko stosic +300 +300 ... +300 ksw,Jan 25th 2020,0,0,0,NAME_NEVER_FOUND
Ken Stone,https://www.bestfightodds.com/fighters/Ken-Stone-2201,yes,,18288,maybe,yes,5,0,0,5,5,0,0,ken stone -120 +145 ... +155 +26.7% ▲ ufc 150: henderson vs. edgar ii,Dec 16th 2010,0,0,0,NAME_NEVER_FOUND
