fight_id,event_id,date,matched_side,matched_fighter,db_opponent,bfo_opponent,bfo_opponent_url,offset_days,name_equal_norm,surname_subset,lev_distance,reason
b9893ab3bed62e60,4e5bbc4566049cbf,2014-12-20,blue,Tim Means,Marcio Alexandre Junior,,,,,,,NO_HEADER_DATE_MATCH
b079f3d5ad290afb,222d6b547de2e035,2014-12-12,blue,Seo Hee Ham,Joanne Wood,,,,,,,NO_HEADER_DATE_MATCH
b57aaf04af8bdd34,4e5bbc4566049cbf,2014-12-20,red,Lyoto Machida,CB Dollaway,,,,,,,NO_HEADER_DATE_MATCH
2ff14dfede1d02dd,155a02a8b4311057,2014-11-22,red,Jared Rosholt,Aleksei Oleinik,,,,,,,NO_HEADER_DATE_MATCH
c26a094aa7ce817e,4e5bbc4566049cbf,2014-12-20,red,Tom Niinimaki,Renato Moicano,,,,,,,NO_HEADER_DATE_MATCH
837a7a922066b214,f9aa6376ae16bfb4,2015-01-18,blue,Ron Stallings,Uriah Hall,,,,,,,NO_HEADER_DATE_MATCH
e8907b881151b79d,6ca68b636fbc1f18,2014-11-08,red,Mauricio Rua,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
1caec47dc08613a7,b1605ea39fba6af6,2015-05-16,red,Gegard Mousasi,Constantinos Philippou,,,,,,,NO_HEADER_DATE_MATCH
da3210cd829fceb7,222d6b547de2e035,2014-12-12,blue,Daron Cruickshank,KJ Noons,,,,,,,NO_HEADER_DATE_MATCH
fadb129e71d8fc22,6ca68b636fbc1f18,2014-11-08,red,Dhiego Lima,Jorge de Oliveira,,,,,,,NO_HEADER_DATE_MATCH
ed3222701a8c0521,222d6b547de2e035,2014-12-12,blue,Angela Magana,Tecia Pennington,,,,,,,NO_HEADER_DATE_MATCH
5e07077e84fc45cd,0313bf497de9c470,2014-10-04,red,Nordine Taleb,Li Jingliang,,,,,,,NO_HEADER_DATE_MATCH
22f52e3b614e0d8a,59851163aaf1aed8,2014-11-15,blue,Marlon Vera,Marco Beltran,,,,,,,NO_HEADER_DATE_MATCH
17bb1e62772ac5af,0313bf497de9c470,2014-10-04,blue,Chris Kelades,Paddy Holohan,,,,,,,NO_HEADER_DATE_MATCH
2f93de8b39ec4625,155a02a8b4311057,2014-11-22,blue,Edson Barboza,King Green,,,,,,,NO_HEADER_DATE_MATCH
284e05afc9479620,2dea80c069847321,2014-09-20,red,Maximo Blanco,Dan Hooker,,,,,,,NO_HEADER_DATE_MATCH
2798c746fe93502a,a71feb7ea7592a71,2014-09-13,red,Jessica Andrade,Larissa Pacheco,,,,,,,NO_HEADER_DATE_MATCH
5ff0c4c6006f0873,2dea80c069847321,2014-09-20,blue,Takanori Gomi,Myles Jury,,,,,,,NO_HEADER_DATE_MATCH
e8c16b26a4bfe163,269d103c96a4c3a5,2014-08-30,blue,Joe Soto,TJ Dillashaw,,,,,,,NO_HEADER_DATE_MATCH
852223ee1a2d0a74,53f02bbc41d99432,2014-10-25,blue,Beneil Dariush,Diego Ferreira,,,,,,,NO_HEADER_DATE_MATCH
4de8b5898e1a23c8,770b9d4813c25902,2014-08-23,blue,Colby Covington,Anying Wang,,,,,,,NO_HEADER_DATE_MATCH
1f63949591ad61bd,05fbfe628658c538,2014-07-26,red,Anthony Johnson,Rogerio Nogueira,,,,,,,NO_HEADER_DATE_MATCH
53fe9da9fb8d4f88,063649e21bc9d6d5,2014-08-23,red,Beneil Dariush,Anthony Rocco Martin,,,,,,,NO_HEADER_DATE_MATCH
4cc9ef5e68009fd4,53f02bbc41d99432,2014-10-25,red,Fabricio Camoes,Anthony Rocco Martin,,,,,,,NO_HEADER_DATE_MATCH
2d323659e430bc92,770b9d4813c25902,2014-08-23,blue,Danny Mitchell,Sai Wang,,,,,,,NO_HEADER_DATE_MATCH
23124e6f3e7aa37d,05fbfe628658c538,2014-07-26,red,Josh Thomson,King Green,,,,,,,NO_HEADER_DATE_MATCH
bdcb43bf1daa790b,1c5879330d42255f,2014-07-06,red,Frankie Edgar,BJ Penn,,,,,,,NO_HEADER_DATE_MATCH
db209b782f35e0e6,fd7acf42bd6e7e95,2014-08-16,red,Ryan Bader,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
612333aaff795989,c0ed7b208197e8de,2014-06-28,blue,Anthony Hamilton,Aleksei Oleinik,,,,,,,NO_HEADER_DATE_MATCH
1117f90ee81e0bbf,1c5879330d42255f,2014-07-06,red,Patrick Walsh,Daniel Spohn,,,,,,,NO_HEADER_DATE_MATCH
e554e9910cb83d49,073eee4e62f0d988,2014-07-19,blue,Josh Sampo,Paddy Holohan,,,,,,,NO_HEADER_DATE_MATCH
20f0129fc4861674,063649e21bc9d6d5,2014-08-23,red,James Vick,Valmir Lazaro,,,,,,,NO_HEADER_DATE_MATCH
1748b2b5aabe23a5,269d103c96a4c3a5,2014-08-30,red,Ramsey Nijem,Diego Ferreira,,,,,,,NO_HEADER_DATE_MATCH
a49706a6edb0c5c3,3bb030257966b022,2014-09-27,blue,Cody Gibson,Manvel Gamburyan,,,,,,,NO_HEADER_DATE_MATCH
0ecbb881c74a63f5,b757c73f443d4fca,2014-05-31,red,Francis Carmont,CB Dollaway,,,,,,,NO_HEADER_DATE_MATCH
80faf0c138d20999,9bcfb40dbcd50568,2014-09-05,blue,Gegard Mousasi,Jacare Souza,,,,,,,NO_HEADER_DATE_MATCH
a3480aa7bdc63c11,6ca68b636fbc1f18,2014-11-08,blue,Leon Edwards,Claudio Silva,,,,,,,NO_HEADER_DATE_MATCH
db747a157e1f264b,5b5307450405abf0,2014-06-14,blue,Ryan Jimmo,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
b56fd6eb7d0b6083,9ca265dfe8323db3,2014-05-24,red,David Michaud,Li Jingliang,,,,,,,NO_HEADER_DATE_MATCH
cbf36e02c68e7719,c0ed7b208197e8de,2014-06-28,red,Colton Smith,Diego Ferreira,,,,,,,NO_HEADER_DATE_MATCH
553a788a44b8e794,4f2fcbefb668689d,2014-04-26,red,Joseph Benavidez,Tim Elliott,,,,,,,NO_HEADER_DATE_MATCH
edcb573f1462846e,9ca265dfe8323db3,2014-05-24,red,Renan Barao,TJ Dillashaw,,,,,,,NO_HEADER_DATE_MATCH
687b9b2c11667531,579fcdfcabd23a7b,2014-05-10,blue,Nik Lentz,Manvel Gamburyan,,,,,,,NO_HEADER_DATE_MATCH
